table_name,column_name,references_table,references_column
hotel,location_slug,location,slug
hotel_facility,hotel_id,hotel,id
hotel_facility,facility_id,facility,id
hotel_images,hotel_slug,hotel,slug
hotel_rooms,hotel_slug,hotel,slug
hotel_rooms,room_category_id,room_category,id
room_images,room_id,hotel_rooms,id
booking,hotel_slug,hotel,slug
booking,room_id,hotel_rooms,id
booking,account_id,accounts,id
booking_detail,booking_id,booking,id
booking_detail,room_id,hotel_rooms,id
payment,booking_id,booking,id
promotion,hotel_id,hotel,id
search_log,location_id,location,id
search_log,user_id,accounts,id
review,booking_id,booking,id
review,hotel_id,hotel,id
review_detail_rating,review_id,review,id